Name;Typ;Strasse;PLZ;Ort;Telefon;Mail;Homepage;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;O_MO;O_DI;O_MI;O_DO;O_FR;O_SA;O_SO;Kommentar
Westend;amerikanisch;Badstr. 4;91220;Schnaittach;+4991537080;westend@m3music.de;https://www.facebook.com/groups/254640013863599/posts/578619991465598;Mo;x;Mi;Do;Fr;Sa;So;18:00 - 23:30;x;18:00 - 23:30;18:00 - 23:30;18:00 - 23:30;18:00 - 23:30;18:00 - 23:30;
Zur alten Post;fränkisch;Erlanger Str. 2;91220;Schnaittach;+499153924948;;;Mo;Di;x;x;Fr;x;x;18:00 - 22:00;18:00 - 22:00;x;x;18:00 - 22:00;x;x;
Gasthaus Goldener Stern;fränkisch;Kirchröttenbach A F3;91220;Schnaittach;+4991269109;;http://www.gasthausgoldenerstern.de;x;x;Mi;x;Fr;Sa;So;x;x;11:30 - 13:30 & 17:00 - 22:00;x;11:30 - 13:30 & 17:00 - 22:00;11:30- 22:00;11:30- 22:00;
Gaststätte Berghof;fränkisch;Am Kühberg 21;91236;Alfeld;+499157341;Gasthof.Berghof@hotmail.de;https://www.facebook.com/p/Gasthof-Berghof-100064594093516;Mo;Di;x;Do;Fr;Sa;So;10:00 - 00:00;10:00 - 14:00;x;10:00 - 00:00;10:00 - 00:00;10:00 - 00:00;10:00 - 00:00;
Zur schönen Aussicht;fränkisch;Hegnenberg 9;90518;Altdorf;+4991875232;info@hegnenberg-kreuzeder.de?;https://hegnenberg-kreuzeder.de;x;x;x;Do;Fr;Sa;So;x;x;x;11:30 - 22:00;11:30 - 22:00;11:30 - 22:00;11:30 - 22:00;
Landgasthof Weisses Kreuz;fränkisch;Ochenbrucker Str. 30 ;90592;Altenthann;+4991838358;info@gasthof-weisseskreuz.de;https://www.gasthof-weisseskreuz.de;x;x;Mi;Do;Fr;Sa;So;x;x;09:00 - 22:00;09:00 - 22:00;09:00 - 22:00;09:00 - 22:00;09:00 - 22:00;
Brauner Hirsch;fränkisch;Waller 1A;91236;Alfeld;+499157395;info@braunerhirsch.com;https://www.braunerhirsch.com;Mo;Di;x;x;Fr;Sa;So;11:00 - 14:00 & 16:30 - 20:00;11:00 - 14:00 & 16:30 - 20:00;x;x;11:00 - 14:00 & 16:30 - 20:00;11:00 - 14:00 & 16:30 - 20:00;11:00 - 20:00;
Zur Schmiede;fränkisch;Lieritzhofen 20;91236;Alfeld;+499157278;info@landgasthof-sebald.de;https://www.landgasthof-sebald.de/;x;x;Mi;Do;Fr;Sa;So;x;x;10:00 - 23:00;10:00 - 23:00; 10:00 - 23:00;10:00 - 23:00;10:00 - 23:00;
Landgasthof Sörgel;fränkisch;Lieritzhofen 25;91236;Alfeld;+499157256;info@landgasthof-soergel.de;https://www.landgasthof-soergel.de/;Mo;Di;x;x;Fr;Sa;So;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;x;x;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;
Grenz-zoigl Ranna;fränkisch;Karl-Winter-Str. 1;91275;Auerbach;+4915112551669;;https://www.facebook.com/GrenZ.Zoigl.Ranna;x;x;Mi;Do;Fr;Sa;So;x;x;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;
Betzenstube;fränkisch;Schloßstrasse 5;91282;Betzenstein;+499244920201;post@betzenstube.de;http://www.betzenstube.de;x;x;Mi;Do;Fr;Sa;So;x;x;16:30 - 22:00;16:30 - 22:00;16:30 - 22:00;16:30 - 22:00;11:00 - 22:00;
Gasthof Gerstacker;fränkisch;Eichenstruth 6;91282;Betzenstein;+499152396;;https://www.bierland-franken.de/biergaerten/dorfgasthof-gerstacker;x;x;x;x;Fr;Sa;So;x;x;x;x;08:00 - 20:00;08:00 - 20:00;08:00 - 20:00;
Gasthof Schermshöhe;fränkisch;Schermshöhe 1;91282;Betzenstein;+499244466;gasthof@schermshoehe.de;https://www.facebook.com/Schermshoehe;x;x;Mi;Do;Fr;Sa;So;x;x;16:30 - 22:00;16:30 - 22:00;16:30 - 22:00;16:30 - 22:00;11:00 - 22:01;
Landgasthof Fischer;fränkisch;Stierberg 25;91282;Betzenstein;+499244384;info@gasthof-pension-fischer.de;http://www.gasthof-pension-fischer.de;Mo;Di;x;x;Fr;Sa;So;11:00 -21:00;11:00 - 21:00;x;x;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;
Zum Ritter;fränkisch;Eckeltshof 8;92262;Birgland;+499157394;info@ritter-eckeltshof.de;https://www.ritter-eckeltshof.de/;x;x;Mi;Do;Fr;Sa;So;x;x;09:00 - 14:30 & 17:00 - 23:00;09:00 - 14:30 & 17:00 - 23:00;09:00 - 14:30 & 17:00 - 23:00;09:00 - 23:00;09:00 - 23:00;
Gasthof Hupfer;fränkisch;Hauptstr 22;91238;Engelthal-Offenhausen;+499158274;hupfer-offenhausen@t-online.de;https://www.hupfer-offenhausen.de;x;x;x;Do;Fr;Sa;So;x;x;x;11:00 - 22:00;09:00 - 22:00;09:30 - 22:00;09:30 - 22:00;
Gasthof Weißes Lamm;fränkisch;Hauptstr 22;91238;Engelthal-Offenhausen;+499158929990;kontakt@hotel-weisseslamm.de;https://www.hotel-weisseslamm.de;x;Di;Mi;x;Fr;Sa;So;x;18:00 - 22:00;11:30 - 14:00 & 18:00 - 22:00;x;17:00 - 24:00;11:30 - 14:00 & 17:00 - 21:00;11:30 - 14:00 & 17:00 - 21:00;
Zum stillen Bächlein;fränkisch;Egensbach 8;91238;Engelthal-Offenhausen;+499158278;gasthaus@stilles-baechlein.de;https://stilles-baechlein.de;x;x;x;Do;Fr;Sa;So;x;x;x;17:00 - 23:00;11:00 - 14:00 17:00 - 22:00;11:00 - 23:00;11:00 - 23:00;
Gasthaus Rotes Roß;fränkisch;Marktplatz 5;90542;Eckental;+4991261821;info@fest-stodl.de;https://fest-stodl.de;x;x;Mi;Do;Fr;Sa;So;x;x;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;09:00 - 14:30 & 17:00 - 23:00;
Restaurant Tai Pan;chinesisch;Stöckacher Str. 2;90542;Eckental;+4991262970988;Restaurant-Tai-Pan@t-online.de;https://restaurant-tai-pan-eckental.eatbu.com;Mo;x;Mi;Do;Fr;Sa;So;11:30 - 14:30 & 17:30 - 22:00;x;11:30 - 14:30 & 17:30 - 22:00;11:30 - 14:30 & 17:30 - 22:00;11:30 - 14:30 & 17:30 - 22:00;11:30 - 14:30 & 17:30 - 22:00;11:30 - 14:30 & 17:30 - 22:00;
Taverna Ela Mesa;griechisch;Eschenauer Hauptstr. 4;90542;Eckental;+499126284966;;https://taverna-ela-mesa.com;Mo;x;Mi;Do;Fr;Sa;So;17:00 - 23:00;x;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;
Haus Ammonit;Cafe;Türkelstein 11;91327;Gößweinstein;+49924292358;info@haus-ammonit.de;http://www.haus-ammonit.de;Mo;Di;Mi;Do;Fr;Sa;So;12:00 - 22:00;12:00 - 22:00;12:00 - 22:00;12:00 - 22:00;12:00 - 22:00;12:00 - 22:00;12:00 - 22:00;
Gasthaus zum Felsentor;fränkisch;Türkelstein 7;91327;Gößweinstein;+499242381;info@tuerkelstein.de;https://www.tuerkelstein.de;Mo;Di;x;Do;Fr;Sa;So;17:00 - 19:30;17:00 - 19:30;x;17:00 - 19:30;17:00 - 19:30;11:30 - 14:00 & 17:00 - 19:30;11:30 - 14:00 & 17:00 - 19:30;
Elchbräu;fränkisch;Thuisbrunn 11;91322;Gräfenberg;+499197221;info@gasthof-seitz.de;https://www.gasthof-seitz.de;x;Di;x;x;Fr;Sa;So;x;10:00 - 20:00;x;x;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;
Brauerei Hofmann;fränkisch;Hohenschwärz 16;91322;Gräfenberg;+499192251;info@brauerei-hofmann.de;http://brauerei-hofmann.de;x;x;Mi;x;Fr;Sa;So;x;x;10:00 - 21:00;x;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;
Brauerei Lindenbräu;fränkisch;Am Bach 3;91322;Gräfenberg;+499192348;lindenbraeu@t-online.de;http://www.lindenbraeu.de;x;Di;Mi;Do;Fr;Sa;x;x;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;10:00 - 22:00;x;
Phuangtong Thai Restaurant;thailändisch;Hohenschwärz 5;91322;Gräfenberg;+4991929952604;phuangtong@buchwaldstueberl.de;http://phuangtong.buchwaldstueberl.de;Mo;Di;x;Do;Fr;Sa;So;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;x;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;
Restaurant am Baggersee;fränkisch;Am Baggersee 1;91230;Happurg;+4915111594015;rolfklecker57@gmail.com;https://www.restaurant-am-baggersee.com;x;x;x;Do;Fr;Sa;So;x;x;x;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;
Edelweisshütte;fränkisch;Deckersberg 34;91230;Happurg;+4991518398804;info@gaststaette-edelweisshuette.de;https://www.facebook.com/gaststaette.edelweisshuette;x;x;x;x;Fr;Sa;So;x;x;x;x;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;
Glücksmühle;fränkisch;Obere Mühlstr. 3;91230;Happurg;+4915117455408;;https://gluecksmuehle.com/;Mo;x;x;Do;Fr;Sa;So;16:00 - 22:00;x;x;16:00 - 22:00;16:00 - 22:00;10:00 - 22:00;10:00 - 22:00;
Hotel Kainsbacher Mühle;fränkisch;Kainsbach Mühlgasse 1;91230;Happurg;+4991517280;info@kainsbacher-muehle.de;http://www.kainsbacher-muehle.de;Mo;Di;Mi;Do;Fr;Sa;So;17:30 - 20:30;17:30 - 20:30;17:30 - 20:30;17:30 - 20:30;17:30 - 20:30;17:30 - 20:30;11:30 - 13:30;
Gasthaus zur Linde;fränkisch;Kainsbach Schupfer Str. 54;91230;Happurg;+4991514165;;https://www.happurg.de/kultur-sport-und-freizeit/gastronomie;x;Di;Mi;Do;Fr;Sa;So;x;09:00 - 22:00;09:00 - 22:00;09:00 - 22:00;09:00 - 22:00;09:00 - 22:00;09:00 - 22:00;
Pizzeria Romantica;italienisch;Schöffenstr. 1;91230;Happurg;+4991514420;;https://www.facebook.com/pizzeria.romantica123;x;Di;Mi;Do;Fr;Sa;So;x;11:00 - 14:00 & 17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;
Cafe & Restaurant Seeterasse;Cafe;Seepromenade 1;91230;Happurg;+499151817441;info@seeterrassen.com;http://www.seeterrassen.com;Mo;Di;Mi;Do;Fr;Sa;So;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;11:00 - 18:00;
Seewirt;fränkisch;See 10;91230;Happurg;+499151245;;https://www.happurg.de/kultur-sport-und-freizeit/gastronomie;Mo;Di;Mi;Do;Fr;x;x;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;x;x;
Gaststätte Burgblick;fränkisch;Am Hirtenberg 8;91235;Hartenstein;+4991521287;;https://de.restaurantguru.com/Burgblick-Hartenstein-Bavaria;x;x;Mi;Do;Fr;x;x;;x;08:00 - 12:00 & 14:00 - 18:00;08:00 - 12:00 & 14:00 - 18:00;08:00 - 12:00 & 14:00 - 18:00;x;x;
Lungsdorf Biergarten;fränkisch;Lungsdorf;91235;Hartenstein;+4991527030;;;x;x;x;x;x;Sa;So;x;x;x;x;x;10:30 - 20:00;10:30 - 20:00;
Burgrestaurant Touche;Steak;Burg 1;91235;Hartenstein;+499152921678;info@restaurant-touche.de;http://www.restaurant-touche.de;x;Di;Mi;Do;Fr;Sa;So;x;17:00 - 22:00;17:00 - 22:00;17:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;
Zum Grünreuther Schlössl;fränkisch;Grünreuth 24;91235;Hartenstein;+499152572;;;x;Di;Mi;Do;Fr;Sa;So;x;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;
Rast Waggon Rupprechtstegen;fränkisch;Am Bahnhof 3;91235;Hartenstein;+4991524085585;;https://www.facebook.com/p/Rastwaggon-Rupprechtstegen-100044502140479/?locale=de_DE;Mo;x;x;x;Fr;Sa;So;11:00 - 22:00;x;x;x;11:00 - 22:00;11:00 - 22:00;11:00 - 22:00;
Zum Wirtshaus;fränkisch;Freiling 1;91239;Henfenfeld;+49915195899;info@zumwirtshaus.de;http://www.zumwirtshaus.de;x;x;x;Do;Fr;Sa;So;x;x;x;16:30 - 22:00;16:30 - 22:00;11:30 - 14:30 & 16:30 - 22:00;11:30 - 21:00;
Landhotel Grüner Baum;fränkisch;Kühnhofen 3;91217;Hersbruck;+499151609560;info@gruener-baum-kuehnhofen.de;https://www.gruener-baum-kuehnhofen.de;Mo;Di;Mi;Do;Fr;Sa;So;17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 20:00;
Michelmühle;fränkisch;Obermuehlweg 30;91217;Hersbruck;+4991511500;;https://michelmuehle.de/Home;Mo;Di;x;Do;Fr;Sa;So;10:00 - 14:00 & 16:30 - 22:00;10:00 - 14:00 & 16:30 - 22:00;x;10:00 - 14:00 & 16:30 - 22:00;10:00 - 14:00 & 16:30 - 22:00;10:00 - 14:00;10:00 - 12:30;
Asia Sakura Sushi;japanisch;An der Alten Bahn 1;91217;Hersbruck;+4915205876598;052769@gmail.com;https://sakurasushiinhersbruck.de/;x;Di;Mi;Do;Fr;Sa;So;x;11:00 - 14:30 & 16:30 - 22:00;11:00 - 14:30 & 16:30 - 22:00;11:00 - 14:30 & 16:30 - 22:00;11:00 - 14:30 & 16:30 - 22:00;11:00 - 22:00;11:00 - 22:00;
Goldener Hirsch;fränkisch;Hirschbacher Dorfpl. 1;92275;Hirschbach;+499152986300;gasthof@goldenerhirsch.de;http://www.goldenerhirsch.de;x;x;Mi;Do;Fr;Sa;So;x;x;11:30 - 20:00;11:30 - 20:00;11:00 - 20:00;11:00 - 20:00;11:00 - 20:00;
Grünes Tal;fränkisch;Pommer 17;91338;Igensdorf;+4991927174;gasthaus.gruenes.tal+kontakt@gmail.com;https://gruenes-tal-pommer.de;Mo;x;x;x;Fr;x;So;11:00 - 22:00;x;x;x;17:00 - 22:00;x;11:00 - 16:00;
Hotel zum alten Schloss;fränkisch;Kleedorf 5;91241;Kirchensittenbach;+4991518600;reservierung@zum-alten-schloss.de;http://www.zum-alten-schloss.de;Mo;Di;Mi;Do;Fr;Sa;So;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;
Gut Obermühle;fränkisch;Obermühle 1;91241;Kirchensittenbach;+491777790108;info@gutobermuehle.de;https://www.gutobermuehle.de;x;x;x;x;Fr;Sa;So;x;x;x;x;17:00 - 21:00;15:00 - 21:00;12:00 - 20:00;
Heißmann;fränkisch;Morsbrunn 3;91241;Kirchensittenbach;+49915195167;;https://www.facebook.com/gasthaus.heissmann/;x;x;x;x;Fr;Sa;So;x;x;x;x;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;
Hofcafe Braun;fränkisch;Treuf 4;91241;Kirchensittenbach;+491702696351;;http://www.brauns-hofcafe.de;x;x;x;Do;Fr;Sa;So;x;x;x;17:00 - 22:00;17:00 - 22:00;11:00 - 22:00;11:00 - 22:00;
Hohensteiner Hof;windbeutel;Hohenstein 43;91241;Kirchensittenbach;+499152533;info@hohensteinerhof.de;https://www.facebook.com/windbeutelcafe.hohensteinerhof/?locale=de_DE;x;x;Mi;Do;Fr;Sa;So;x;x;11:00 - 19:00;11:00 - 19:00;11:00 - 19:00;11:00 - 19:00;11:00 - 19:00;
Afroditi;griechisch;Samstagstr. 20;91207;Lauf;+4991239892860;;https://www.facebook.com/profile.php/?id=100061930315399;x;Di;Mi;Do;Fr;Sa;So;x;17:00 - 21:00;17:00 - 21:00;17:00 - 21:00;17:00 - 21:00;17:00 - 21:00;11:00 - 14:00 & 17:00 - 21:00;
Restaurant Atli;türkisch;Friedensplatz 10;91207;Lauf;+499123961600;;https://atli-lauf.de;Mo;Di;Mi;Do;Fr;x;x;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;x;x;
Anusch Lini;armenisch;Kirchenplatz 3;91207;Lauf;+4991231641126;reservierung@anuschlini.de;https://anuschlini.de/;x;Di;Mi;Do;Fr;Sa;So;x;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:30 & 17:00 - 22:00;
Dorfcafe Simonshofen;Cafe;Hopfenstr. 32;91207;Lauf;+4991239996424;;https://www.dorfcafe-simonshofen.de/;x;x;x;Do;Fr;Sa;So;x;x;x;12:00 - 18:00;12:00 - 18:00;12:00 - 18:00;12:00 - 18:00;
Estiatorio Symposion;griechisch;Hersbrucker Str. 30;91207;Lauf;+49912313660;info@estiatorio-symposion.de;https://www.estiatorio-symposion.de;x;x;Mi;Do;Fr;Sa;So;x;x;17:30 - 21:00; 17:30 - 21:00;17:30 - 21:00;17:30 - 21:00;17:30 - 21:00;
Hallerschlösschen;fränkisch;Nuschelberger  Hauptstraße 1;91207;Lauf;+4991233396;info@hallerschloesschen.de;https://hallerschloesschen.de;x;x;x;x;Fr;Sa;So;x;x;x;x;17:00 - 22:00;11:00 - 18:00;11:00 - 18:00;
Holzofen Pizza la Piazza;italienisch;Marktpl. 5;91207;Lauf;+4991239994610;;;Mo;Di;Mi;Do;Fr;Sa;So;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;16:30 - 21:30;
il.Vino;italienisch;Hersbrucker Str. 8;91207;Lauf;+4991239909380;;https://www.ilvino-lauf.de;x;Di;Mi;Do;Fr;Sa;x;x;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;x;
Mr. Ca Asian Fusion & Sushi;thailändisch;Johannisstr. 16;91207;Lauf;+4991239612810;info@misterca-restaurant.de;https://misterca-restaurant.de;Mo;x;Mi;Do;Fr;Sa;So;11:00 - 14:30 & 17:00 - 22:00;x;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:30 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;
Schloß Oedenberg;fränkisch;Schloßweg 1;91207;Lauf;+4991236766;info@schloss-oedenberg.de;https://www.schloss-oedenberg.de;x;x;Mi;Do;Fr;Sa;So;x;x;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;11:30 - 14:00 & 17:00 - 21:30;
Weisses Roß;fränkisch;Oedenberger Hauptstr. 2;91207;Lauf;+4991236570;weisses-ross-oedenberg@t-online.de;https://www.weisses-ross-oedenberg.de;x;x;Mi;Do;Fr;Sa;So;x;x;11:30 - 20:00;11:30 - 20:00;11:30 - 20:00;11:30 - 20:00;11:30 - 20:00;
Padelle d'Italia;italienisch;Marktpl. 18;91207;Lauf;+4991239994272;info@pdilauf.de;https://www.padelle.de/standortlauf;x;Di;Mi;Do;Fr;Sa;So;x;17:30 - 21:30;11:30 - 14:30 & 17:30 - 21:00;11:30 - 14:30 & 17:30 - 21:00;11:30 - 14:30 & 17:30 - 21:00;11:30 - 14:30 & 17:30 - 21:00;11:30 - 14:30 & 17:30 - 21:00;
Südtiroler Stuben;italienisch;Hersbrucker Str. 1;91207;Lauf;+4991239909380;;https://www.instagram.com/suedtiroler.stuben.lauf/?hl=de;x;Di;Mi;Do;Fr;Sa;x;x;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;17:00 - 23:00;11:00 - 14:00 & 17:00 - 23:00;x;
Cafe Restaurant Südlich;italienisch;Johannisstr. 25;91207;Lauf;+4991239909380;;https://www.facebook.com/suedlich.lauf/?locale=de_D;x;Di;Mi;Do;Fr;Sa;So;x;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;11:00 - 14:00 & 17:00 - 22:00;
Trattoria de Carmelo (Bräustüberl);italienisch;Falknerstr. 2;91207;Lauf;+4991233134;;https://www.instagram.com/trattoriadacarmelo/;Mo;Di;x;Do;Fr;Sa;So;11:30 - 23:00;11:30 - 23:00;x;11:30 - 23:00;11:30 - 23:00;11:30 - 23:00;11:30 - 23:00;
Waldgasthof am Letten;fränkisch;Letten 13;91207;Lauf;+4991239530;info@waldgasthof-am-letten.de;http://www.waldgasthof-am-letten.de;Mo;Di;Mi;Do;Fr;Sa;x;11:30 - 14:00 & 17:30 - 22:00;11:30 - 14:00 & 17:30 - 22:00;11:30 - 14:00 & 17:30 - 22:00;11:30 - 14:00 & 17:30 - 22:00;11:30 - 14:00 & 17:30 - 22:00;11:30 - 14:00 & 17:30 - 22:00;x;
Brauerei Gasthof Wiethaler;fränkisch;Welserplatz 6;91207;Lauf;+4991265460;info@gasthof-wiethaler.de;https://www.brauerei-wiethaler.de;x;x;Mi;Do;Fr;Sa;So;x;x;11:30 - 21:00;11:30 - 21:00;11:30 - 21:00;11:30 - 21:00;11:30 - 21:00;
Hotel & Restaurant Distlerhof;fränkisch;Bergstr. 46;91227;Leinburg;+499120378;INFO@DISTLERHOF.DE;http://www.distlerhof.de;x;x;Mi;Do;Fr;Sa;So;x;x;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:30;11:30 - 14:00 & 17:30 - 20:00;11:30 - 14:00 & 17:30 - 20:00;
